origin_id,destinatio,entry_cost,network_co,exit_cost,total_cost
Bella Vista,Bella Vista,,0.0000000,,
Bella Vista,San Antonio de Itati,0.2622486,6.9997494,0.3333160,7.5953140
Bella Vista,Corrientes,0.2622486,6.1016058,0.0390951,6.4029495
Bella Vista,Concepcion,0.2622486,5.3635187,0.0297577,5.6555249
Bella Vista,Curuzu Cuatia,0.2622486,7.1668424,0.2472229,7.6763139
Bella Vista,Empedrado,0.2622486,4.7504560,0.2196403,5.2323448
Bella Vista,Esquina,0.2622486,10.6493459,0.1333286,11.0449231
Bella Vista,Alvear,0.2622486,10.6493459,0.1333286,11.0449231
Bella Vista,Caa Cati,0.2622486,5.8491362,0.0570402,6.1684250
Bella Vista,Goya,0.2622486,1.8323290,0.4402002,2.5347778
Bella Vista,Itati,0.2622486,7.4084852,0.0551088,7.7258426
Bella Vista,Ituzaingo,0.2622486,7.4084852,0.0551088,7.7258426
Bella Vista,Santa Lucia,0.2622486,1.3501697,0.1879998,1.8004182
Bella Vista,Mburucuya,0.2622486,3.5717935,0.1608760,3.9949181
Bella Vista,Mercedes,0.2622486,3.5717935,0.1608760,3.9949181
Bella Vista,Monte Caseros,0.2622486,8.9084049,0.2510246,9.4216780
Bella Vista,Paso de los Libres,0.2622486,8.9084049,0.2510246,9.4216780
Bella Vista,Saladas,0.2622486,2.0176407,0.1094186,2.3893079
Bella Vista,San Cosme,0.2622486,6.5724742,0.1972984,7.0320211
Bella Vista,San Luis del Palmar,0.2622486,5.6863007,0.1978792,6.1464284
Bella Vista,La Cruz,0.2622486,5.6863007,0.1978792,6.1464284
Bella Vista,San Miguel,0.2622486,6.2409158,0.5543306,7.0574950
Bella Vista,San Roque,0.2622486,1.2103355,0.1656358,1.6382198
Bella Vista,Santo Tome,0.2622486,1.2103355,0.1656358,1.6382198
Bella Vista,Sauce,0.2622486,7.6395701,0.2540973,8.1559160
San Antonio de Itati,Bella Vista,0.3333160,6.9997494,0.2622486,7.5953140
San Antonio de Itati,San Antonio de Itati,0.3333160,0.0000000,0.2622486,7.5953140
San Antonio de Itati,Corrientes,0.3333160,5.4751552,0.0390951,5.8475664
San Antonio de Itati,Concepcion,0.3333160,4.6731239,0.0297577,5.0361976
San Antonio de Itati,Curuzu Cuatia,0.3333160,14.1665918,0.2472229,14.7471307
San Antonio de Itati,Empedrado,0.3333160,5.7746476,0.2196403,6.3276039
San Antonio de Itati,Esquina,0.3333160,17.6490953,0.1333286,18.1157400
San Antonio de Itati,Alvear,0.3333160,17.6490953,0.1333286,18.1157400
San Antonio de Itati,Caa Cati,0.3333160,1.1506132,0.0570402,1.5409694
San Antonio de Itati,Goya,0.3333160,8.8320784,0.4402002,9.6055946
San Antonio de Itati,Itati,0.3333160,6.1187213,0.0551088,6.5071461
San Antonio de Itati,Ituzaingo,0.3333160,6.1187213,0.0551088,6.5071461
San Antonio de Itati,Santa Lucia,0.3333160,8.3499191,0.1879998,8.8712350
San Antonio de Itati,Mburucuya,0.3333160,3.4279559,0.1608760,3.9221480
San Antonio de Itati,Mercedes,0.3333160,3.4279559,0.1608760,3.9221480
San Antonio de Itati,Monte Caseros,0.3333160,15.9081543,0.2510246,16.4924949
San Antonio de Itati,Paso de los Libres,0.3333160,15.9081543,0.2510246,16.4924949
San Antonio de Itati,Saladas,0.3333160,4.9821087,0.1094186,5.4248433
San Antonio de Itati,San Cosme,0.3333160,5.2827102,0.1972984,5.8133246
San Antonio de Itati,San Luis del Palmar,0.3333160,4.3965367,0.1978792,4.9277320
San Antonio de Itati,La Cruz,0.3333160,4.3965367,0.1978792,4.9277320
San Antonio de Itati,San Miguel,0.3333160,1.5423928,0.5543306,2.4300394
San Antonio de Itati,San Roque,0.3333160,8.2100848,0.1656358,8.7090367
San Antonio de Itati,Santo Tome,0.3333160,8.2100848,0.1656358,8.7090367
San Antonio de Itati,Sauce,0.3333160,14.6393195,0.2540973,15.2267329
Corrientes,Bella Vista,0.0390951,6.1016058,0.2622486,6.4029495
Corrientes,San Antonio de Itati,0.0390951,5.4751552,0.3333160,5.8475664
Corrientes,Corrientes,0.0390951,0.0000000,0.3333160,5.8475664
Corrientes,Concepcion,0.0390951,4.8582094,0.0297577,4.9270622
Corrientes,Curuzu Cuatia,0.0390951,13.2684482,0.2472229,13.5547662
Corrientes,Empedrado,0.0390951,2.2451281,0.2196403,2.5038635
Corrientes,Esquina,0.0390951,16.7509517,0.1333286,16.9233755
Corrientes,Alvear,0.0390951,16.7509517,0.1333286,16.9233755
Corrientes,Caa Cati,0.0390951,4.3245420,0.0570402,4.4206773
Corrientes,Goya,0.0390951,7.9339347,0.4402002,8.4132301
Corrientes,Itati,0.0390951,2.8008030,0.0551088,2.8950070
Corrientes,Ituzaingo,0.0390951,2.8008030,0.0551088,2.8950070
Corrientes,Santa Lucia,0.0390951,7.4517755,0.1879998,7.6788705
Corrientes,Mburucuya,0.0390951,3.0664841,0.1608760,3.2664553
Corrientes,Mercedes,0.0390951,3.0664841,0.1608760,3.2664553
Corrientes,Monte Caseros,0.0390951,15.0100106,0.2510246,15.3001303
Corrientes,Paso de los Libres,0.0390951,15.0100106,0.2510246,15.3001303
Corrientes,Saladas,0.0390951,4.0839650,0.1094186,4.2324787
Corrientes,San Cosme,0.0390951,1.9647920,0.1972984,2.2011855
Corrientes,San Luis del Palmar,0.0390951,1.0786185,0.1978792,1.3155928
Corrientes,La Cruz,0.0390951,1.0786185,0.1978792,1.3155928
Corrientes,San Miguel,0.0390951,4.7163216,0.5543306,5.3097473
Corrientes,San Roque,0.0390951,7.3119412,0.1656358,7.5166721
Corrientes,Santo Tome,0.0390951,7.3119412,0.1656358,7.5166721
Corrientes,Sauce,0.0390951,13.7411759,0.2540973,14.0343684
Concepcion,Bella Vista,0.0297577,5.3635187,0.2622486,5.6555249
Concepcion,San Antonio de Itati,0.0297577,4.6731239,0.3333160,5.0361976
Concepcion,Corrientes,0.0297577,4.8582094,0.0390951,4.9270622
Concepcion,Concepcion,0.0297577,0.0000000,0.0390951,4.9270622
Concepcion,Curuzu Cuatia,0.0297577,12.5303611,0.2472229,12.8073416
Concepcion,Empedrado,0.0297577,4.2948842,0.2196403,4.5442821
Concepcion,Esquina,0.0297577,16.0128646,0.1333286,16.1759509
Concepcion,Alvear,0.0297577,16.0128646,0.1333286,16.1759509
Concepcion,Caa Cati,0.0297577,3.5225107,0.0570402,3.6093085
Concepcion,Goya,0.0297577,7.1958477,0.4402002,7.6658056
Concepcion,Itati,0.0297577,6.1650888,0.0551088,6.2499553
Concepcion,Ituzaingo,0.0297577,6.1650888,0.0551088,6.2499553
Concepcion,Santa Lucia,0.0297577,6.7136884,0.1879998,6.9314459
Concepcion,Mburucuya,0.0297577,1.7917252,0.1608760,1.9823589
Concepcion,Mercedes,0.0297577,1.7917252,0.1608760,1.9823589
Concepcion,Monte Caseros,0.0297577,14.2719236,0.2510246,14.5527058
Concepcion,Paso de los Libres,0.0297577,14.2719236,0.2510246,14.5527058
Concepcion,Saladas,0.0297577,3.3458780,0.1094186,3.4850542
Concepcion,San Cosme,0.0297577,5.3290778,0.1972984,5.5561338
Concepcion,San Luis del Palmar,0.0297577,4.4429043,0.1978792,4.6705411
Concepcion,La Cruz,0.0297577,4.4429043,0.1978792,4.6705411
Concepcion,San Miguel,0.0297577,3.9142903,0.5543306,4.4983785
Concepcion,San Roque,0.0297577,6.5738542,0.1656358,6.7692476
Concepcion,Santo Tome,0.0297577,6.5738542,0.1656358,6.7692476
Concepcion,Sauce,0.0297577,13.0030888,0.2540973,13.2869438
Curuzu Cuatia,Bella Vista,0.2472229,7.1668424,0.2622486,7.6763139
Curuzu Cuatia,San Antonio de Itati,0.2472229,14.1665918,0.3333160,14.7471307
Curuzu Cuatia,Corrientes,0.2472229,13.2684482,0.0390951,13.5547662
Curuzu Cuatia,Concepcion,0.2472229,12.5303611,0.0297577,12.8073416
Curuzu Cuatia,Curuzu Cuatia,0.2472229,0.0000000,0.0297577,12.8073416
Curuzu Cuatia,Empedrado,0.2472229,11.9172984,0.2196403,12.3841615
Curuzu Cuatia,Esquina,0.2472229,6.6149212,0.1333286,6.9954727
Curuzu Cuatia,Alvear,0.2472229,6.6149212,0.1333286,6.9954727
Curuzu Cuatia,Caa Cati,0.2472229,13.0159786,0.0570402,13.3202417
Curuzu Cuatia,Goya,0.2472229,8.9991714,0.4402002,9.6865945
Curuzu Cuatia,Itati,0.2472229,14.5753276,0.0551088,14.8776593
Curuzu Cuatia,Ituzaingo,0.2472229,14.5753276,0.0551088,14.8776593
Curuzu Cuatia,Santa Lucia,0.2472229,8.5170122,0.1879998,8.9522349
Curuzu Cuatia,Mburucuya,0.2472229,10.7386359,0.1608760,11.1467348
Curuzu Cuatia,Mercedes,0.2472229,10.7386359,0.1608760,11.1467348
Curuzu Cuatia,Monte Caseros,0.2472229,1.8392311,0.2510246,2.3374786
Curuzu Cuatia,Paso de los Libres,0.2472229,1.8392311,0.2510246,2.3374786
Curuzu Cuatia,Saladas,0.2472229,9.1844831,0.1094186,9.5411246
Curuzu Cuatia,San Cosme,0.2472229,13.7393166,0.1972984,14.1838378
Curuzu Cuatia,San Luis del Palmar,0.2472229,12.8531431,0.1978792,13.2982451
Curuzu Cuatia,La Cruz,0.2472229,12.8531431,0.1978792,13.2982451
Curuzu Cuatia,San Miguel,0.2472229,13.4077582,0.5543306,14.2093117
Curuzu Cuatia,San Roque,0.2472229,5.9565070,0.1656358,6.3693656
Curuzu Cuatia,Santo Tome,0.2472229,5.9565070,0.1656358,6.3693656
Curuzu Cuatia,Sauce,0.2472229,2.9170845,0.2540973,3.4184047
Empedrado,Bella Vista,0.2196403,4.7504560,0.2622486,5.2323448
Empedrado,San Antonio de Itati,0.2196403,5.7746476,0.3333160,6.3276039
Empedrado,Corrientes,0.2196403,2.2451281,0.0390951,2.5038635
Empedrado,Concepcion,0.2196403,4.2948842,0.0297577,4.5442821
Empedrado,Curuzu Cuatia,0.2196403,11.9172984,0.2472229,12.3841615
Empedrado,Empedrado,0.2196403,0.0000000,0.2472229,12.3841615
Empedrado,Esquina,0.2196403,15.3998019,0.1333286,15.7527708
Empedrado,Alvear,0.2196403,15.3998019,0.1333286,15.7527708
Empedrado,Caa Cati,0.2196403,4.6240344,0.0570402,4.9007149
Empedrado,Goya,0.2196403,6.5827849,0.4402002,7.2426254
Empedrado,Itati,0.2196403,3.8284097,0.0551088,4.1031588
Empedrado,Ituzaingo,0.2196403,3.8284097,0.0551088,4.1031588
Empedrado,Santa Lucia,0.2196403,6.1006257,0.1879998,6.5082658
Empedrado,Mburucuya,0.2196403,2.5031590,0.1608760,2.8836753
Empedrado,Mercedes,0.2196403,2.5031590,0.1608760,2.8836753
Empedrado,Monte Caseros,0.2196403,13.6588608,0.2510246,14.1295257
Empedrado,Paso de los Libres,0.2196403,13.6588608,0.2510246,14.1295257
Empedrado,Saladas,0.2196403,2.7328152,0.1094186,3.0618741
Empedrado,San Cosme,0.2196403,2.9923987,0.1972984,3.4093373
Empedrado,San Luis del Palmar,0.2196403,2.1062252,0.1978792,2.5237446
Empedrado,La Cruz,0.2196403,2.1062252,0.1978792,2.5237446
Empedrado,San Miguel,0.2196403,5.0158140,0.5543306,5.7897849
Empedrado,San Roque,0.2196403,5.9607914,0.1656358,6.3460675
Empedrado,Santo Tome,0.2196403,5.9607914,0.1656358,6.3460675
Empedrado,Sauce,0.2196403,12.3900261,0.2540973,12.8637637
Esquina,Bella Vista,0.1333286,10.6493459,0.2622486,11.0449231
Esquina,San Antonio de Itati,0.1333286,17.6490953,0.3333160,18.1157400
Esquina,Corrientes,0.1333286,16.7509517,0.0390951,16.9233755
Esquina,Concepcion,0.1333286,16.0128646,0.0297577,16.1759509
Esquina,Curuzu Cuatia,0.1333286,6.6149212,0.2472229,6.9954727
Esquina,Empedrado,0.1333286,15.3998019,0.2196403,15.7527708
Esquina,Esquina,0.1333286,0.0000000,0.2196403,15.7527708
Esquina,Alvear,0.1333286,0.0000000,0.2196403,15.7527708
Esquina,Caa Cati,0.1333286,16.4984821,0.0570402,16.6888509
Esquina,Goya,0.1333286,12.4816749,0.4402002,13.0552038
Esquina,Itati,0.1333286,18.0578311,0.0551088,18.2462686
Esquina,Ituzaingo,0.1333286,18.0578311,0.0551088,18.2462686
Esquina,Santa Lucia,0.1333286,11.9995157,0.1879998,12.3208441
Esquina,Mburucuya,0.1333286,14.2211394,0.1608760,14.5153441
Esquina,Mercedes,0.1333286,14.2211394,0.1608760,14.5153441
Esquina,Monte Caseros,0.1333286,8.3564836,0.2510246,8.7408368
Esquina,Paso de los Libres,0.1333286,8.3564836,0.2510246,8.7408368
Esquina,Saladas,0.1333286,12.6669866,0.1094186,12.9097338
Esquina,San Cosme,0.1333286,17.2218201,0.1972984,17.5524471
Esquina,San Luis del Palmar,0.1333286,16.3356466,0.1978792,16.6668544
Esquina,La Cruz,0.1333286,16.3356466,0.1978792,16.6668544
Esquina,San Miguel,0.1333286,16.8902617,0.5543306,17.5779209
Esquina,San Roque,0.1333286,9.4390105,0.1656358,9.7379749
Esquina,Santo Tome,0.1333286,9.4390105,0.1656358,9.7379749
Esquina,Sauce,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,Bella Vista,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,San Antonio de Itati,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,Corrientes,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,Concepcion,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,Curuzu Cuatia,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,Empedrado,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,Esquina,0.1333286,3.6978367,0.2540973,4.0852626
Alvear,Alvear,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Caa Cati,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Goya,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Itati,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Ituzaingo,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Santa Lucia,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Mburucuya,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Mercedes,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Monte Caseros,0.1333286,0.0000000,0.2540973,4.0852626
Alvear,Paso de los Libres,0.2475794,3.8920258,0.0522795,4.1918847
Alvear,Saladas,0.2475794,3.8920258,0.0522795,4.1918847
Alvear,San Cosme,0.2475794,3.8920258,0.0522795,4.1918847
Alvear,San Luis del Palmar,0.2475794,3.8920258,0.0522795,4.1918847
Alvear,La Cruz,0.2475794,0.8766929,0.0837011,1.2079734
Alvear,San Miguel,0.2475794,0.8766929,0.0837011,1.2079734
Alvear,San Roque,0.2475794,0.8766929,0.0837011,1.2079734
Alvear,Santo Tome,0.2475794,8.1183484,0.0471872,8.4131150
Alvear,Sauce,0.2475794,8.1183484,0.0471872,8.4131150
Caa Cati,Bella Vista,0.0570402,5.8491362,0.2622486,6.1684250
Caa Cati,San Antonio de Itati,0.0570402,1.1506132,0.3333160,1.5409694
Caa Cati,Corrientes,0.0570402,4.3245420,0.0390951,4.4206773
Caa Cati,Concepcion,0.0570402,3.5225107,0.0297577,3.6093085
Caa Cati,Curuzu Cuatia,0.0570402,13.0159786,0.2472229,13.3202417
Caa Cati,Empedrado,0.0570402,4.6240344,0.2196403,4.9007149
Caa Cati,Esquina,0.0570402,16.4984821,0.1333286,16.6888509
Caa Cati,Alvear,0.0570402,16.4984821,0.1333286,16.6888509
Caa Cati,Caa Cati,0.0570402,0.0000000,0.1333286,16.6888509
Caa Cati,Goya,0.0570402,7.6814652,0.4402002,8.1787056
Caa Cati,Itati,0.0570402,4.9681081,0.0551088,5.0802571
Caa Cati,Ituzaingo,0.0570402,4.9681081,0.0551088,5.0802571
Caa Cati,Santa Lucia,0.0570402,7.1993059,0.1879998,7.4443459
Caa Cati,Mburucuya,0.0570402,2.2773427,0.1608760,2.4952590
Caa Cati,Mercedes,0.0570402,2.2773427,0.1608760,2.4952590
Caa Cati,Monte Caseros,0.0570402,14.7575411,0.2510246,15.0656058
Caa Cati,Paso de los Libres,0.0570402,14.7575411,0.2510246,15.0656058
Caa Cati,Saladas,0.0570402,3.8314955,0.1094186,3.9979542
Caa Cati,San Cosme,0.0570402,4.1320970,0.1972984,4.3864356
Caa Cati,San Luis del Palmar,0.0570402,3.2459236,0.1978792,3.5008429
Caa Cati,La Cruz,0.0570402,3.2459236,0.1978792,3.5008429
Caa Cati,San Miguel,0.0570402,0.3917796,0.5543306,1.0031503
Caa Cati,San Roque,0.0570402,7.0594717,0.1656358,7.2821476
Caa Cati,Santo Tome,0.0570402,7.0594717,0.1656358,7.2821476
