Departamento,Capital,Provincia ,Pais
Bella Vista,Bella Vista,Corrientes,Argentina
Departartamento Beron de Astrada,San Antonio de Itati ,Corrientes,Argentina
Capital ,Corrientes,Corrientes,Argentina
Departamento concepcion ,Concepcion,Corrientes,Argentina
Curuzu Cuatia ,Curuzu Cuatia ,Corrientes,Argentina
Empedrado,Empedrado,Corrientes,Argentina
Esquina,Esquina,Corrientes,Argentina
General Alvear,Alvear,Corrientes,Argentina
General Paz,Caa Cati,Corrientes,Argentina
Goya,Goya ,Corrientes,Argentina
Itati,Itati,Corrientes,Argentina
Ituzaingo,Ituzaingo,Corrientes,Argentina
Lavalle,Santa Lucia,Corrientes,Argentina
Mburucuya,Mburucuya,Corrientes,Argentina
Mercedes,Mercedes,Corrientes,Argentina
Monte Caseros ,Monte Caseros,Corrientes,Argentina
Departamento Paso de los Libres,Paso de los Libres,Corrientes,Argentina
Saladas,Saladas,Corrientes,Argentina
San Cosme ,San Cosme ,Corrientes,Argentina
Departamento San Luis del Palmar,San Luis del Palmar ,Corrientes,Argentina
Departamento San Martin,La Cruz ,Corrientes,Argentina
San Miguel ,San Miguel ,Corrientes,Argentina
San Roque ,San Roque ,Corrientes,Argentina
Santo Tome,Santo Tome,Corrientes,Argentina
Sauce ,Sauce ,Corrientes,Argentina
